Size (nt),"D1: E. coli Total RNA","D2: E. coli Total RNA","D3: E. coli Total RNA","D4: E. coli Total RNA","D5: E. coli Total RNA","D6: E. coli Total RNA","D7: E. coli Total RNA","D8: DM","D9: DM","D10: DM","D11: DM","D12: RNA Ladder"
1.12,0.16,3.90,3.87,4.17,1.77,6.53,5.86,3.87,5.06,5.65,6.98,2.59
1.90,0.89,4.85,4.71,5.36,2.46,7.25,6.96,4.80,5.66,6.23,7.64,3.68
2.67,1.68,5.80,5.69,6.24,3.17,7.94,8.25,5.76,6.31,6.96,8.29,4.68
3.44,2.72,6.92,7.08,6.88,3.97,8.87,9.73,6.78,7.16,7.98,9.16,5.74
4.21,4.12,8.36,9.09,7.56,5.00,10.27,11.40,7.98,8.37,9.40,10.45,7.01
4.98,5.95,10.17,11.74,8.61,6.40,12.22,13.28,9.48,9.98,11.28,12.30,8.57
5.75,8.23,12.38,14.97,10.30,8.26,14.66,15.46,11.47,11.95,13.72,14.79,10.53
6.52,11.22,15.21,18.99,12.81,10.72,17.63,18.28,14.20,14.33,17.05,18.21,13.29
7.29,15.77,19.47,25.10,16.69,14.42,21.80,22.79,18.38,17.65,22.44,23.88,18.23
8.06,24.61,27.77,37.40,23.94,21.59,29.73,32.07,26.15,23.84,33.41,35.79,29.13
8.83,44.46,46.62,65.48,40.01,37.99,48.08,53.59,43.31,37.96,58.38,63.23,54.52
9.60,88.85,89.40,126.95,76.45,75.20,90.54,101.89,81.96,70.67,113.18,123.35,109.68
10.37,178.91,177.61,246.76,151.89,151.27,179.10,198.69,161.46,139.73,220.29,240.34,215.39
11.15,338.16,336.49,448.82,288.11,286.32,339.53,366.45,304.16,267.03,401.07,437.14,390.20
11.92,579.09,582.03,739.31,498.39,491.00,587.86,613.96,523.30,468.29,660.17,718.93,635.89
12.69,885.63,902.41,1088.47,771.50,751.29,911.37,919.39,806.45,737.02,969.30,1055.71,923.48
13.46,1203.77,1245.88,1425.75,1061.53,1020.38,1256.39,1223.70,1105.40,1032.48,1263.89,1378.34,1191.81
14.23,1452.77,1528.87,1659.59,1296.00,1228.61,1537.26,1445.82,1344.96,1284.24,1462.38,1598.62,1366.54
15.00,1557.61,1667.81,1717.32,1404.37,1312.12,1669.74,1517.19,1452.66,1418.05,1502.64,1648.23,1393.42
16.00,1485.90,1619.27,1582.22,1352.66,1244.96,1612.15,1416.57,1394.56,1391.52,1373.97,1513.76,1266.07
16.77,1264.99,1402.89,1302.68,1161.64,1053.13,1387.66,1181.44,1193.55,1216.69,1122.91,1244.04,1029.34
17.54,967.43,1090.97,966.82,895.60,800.48,1071.85,887.94,916.98,953.56,828.52,924.37,755.97
18.31,674.91,772.06,660.13,629.57,556.53,754.24,613.43,642.63,679.18,564.53,635.63,512.54
19.08,444.27,512.72,433.08,417.20,367.53,499.79,405.91,425.45,453.24,372.13,423.99,335.65
19.85,293.86,338.92,293.79,277.00,246.29,331.61,275.55,283.69,300.33,255.53,295.33,228.58
20.62,211.42,241.44,221.93,198.97,180.61,238.26,206.11,206.09,213.75,195.54,229.34,173.67
21.39,172.10,194.38,189.01,161.06,149.19,193.15,172.98,169.04,171.53,167.58,199.07,148.39
22.16,153.62,172.56,172.83,143.14,134.11,171.74,156.44,151.41,151.84,153.43,184.07,135.96
22.93,142.95,160.15,161.98,133.14,125.36,159.28,145.99,140.82,140.82,144.22,174.15,128.12
23.70,135.46,150.94,153.43,126.43,119.56,150.23,138.47,132.93,132.86,137.77,166.69,122.80
24.47,130.83,144.27,147.76,122.34,116.40,144.07,134.02,127.55,127.22,134.36,162.14,120.30
25.24,129.46,140.91,145.47,121.09,115.91,141.29,132.97,125.18,124.37,133.91,160.68,120.72
26.01,130.65,140.67,145.75,122.14,117.29,141.36,134.43,125.32,124.02,135.15,161.21,122.95
26.78,132.75,142.11,146.89,124.13,119.08,142.72,136.54,126.51,124.83,136.34,161.89,125.20
27.55,134.14,143.45,147.46,125.51,119.97,143.70,137.55,127.28,125.27,136.33,161.39,126.05
28.32,134.14,143.61,147.01,125.45,119.51,143.44,136.76,126.98,124.53,135.14,159.62,125.15
29.09,133.16,142.68,146.09,124.23,118.29,142.18,134.83,125.98,122.92,133.71,157.47,123.31
29.86,132.20,141.54,145.50,122.95,117.42,140.79,133.14,125.17,121.46,133.10,155.96,121.83
30.63,131.99,141.09,145.66,122.75,117.82,140.09,132.83,125.18,121.01,133.79,155.54,121.61
31.40,132.56,141.65,146.29,124.01,119.48,140.32,134.04,125.91,121.68,135.31,155.84,122.73
32.17,133.35,142.83,146.66,126.14,121.54,141.05,135.95,126.67,122.80,136.64,155.97,124.42
32.94,133.58,143.84,146.01,127.96,122.70,141.46,137.23,126.58,123.38,136.64,154.98,125.47
33.71,132.51,143.77,143.71,128.29,121.87,140.64,136.65,124.89,122.55,134.49,152.12,124.77
34.48,129.59,141.79,139.25,126.28,118.47,137.83,133.47,121.15,119.73,129.85,146.90,121.61
35.25,124.40,137.30,132.32,121.58,112.43,132.53,127.47,115.14,114.69,122.81,139.18,115.80
36.02,116.82,130.11,122.93,114.21,104.06,124.70,118.93,106.95,107.43,113.65,129.16,107.55
36.79,107.08,120.47,111.55,104.46,93.92,114.71,108.42,96.96,98.27,102.83,117.35,97.31
37.56,95.79,109.01,99.02,92.90,82.68,103.28,96.65,85.81,87.78,90.87,104.48,85.67
38.33,83.69,96.47,86.27,80.31,71.09,91.15,84.33,74.27,76.69,78.42,91.35,73.37
39.10,71.60,83.59,74.15,67.71,59.97,79.03,72.20,63.11,65.70,66.32,78.77,61.40
39.87,60.30,71.10,63.25,56.14,50.09,67.53,61.03,53.02,55.48,55.49,67.51,50.73
40.64,50.53,59.79,54.00,46.46,42.04,57.27,51.55,44.54,46.63,46.66,58.16,42.11
41.41,42.76,50.38,46.59,39.11,36.06,48.80,44.23,37.97,39.56,40.19,51.01,35.73
42.18,37.10,43.25,41.00,34.00,31.98,42.44,39.12,33.31,34.43,35.92,45.98,31.34
42.95,33.25,38.38,36.99,30.68,29.30,38.12,35.87,30.24,31.06,33.33,42.68,28.42
43.72,30.69,35.31,34.18,28.58,27.52,35.43,33.87,28.29,29.03,31.77,40.52,26.50
44.49,28.88,33.42,32.15,27.23,26.23,33.78,32.51,26.96,27.85,30.66,38.95,25.20
45.26,27.44,32.18,30.59,26.32,25.18,32.64,31.34,25.91,27.05,29.64,37.59,24.22
46.03,26.17,31.21,29.31,25.65,24.21,31.64,30.12,24.95,26.30,28.55,36.25,23.36
46.79,25.07,30.35,28.21,25.04,23.26,30.61,28.78,24.05,25.41,27.96,34.91,22.48
47.56,24.17,29.56,27.30,24.34,22.36,29.47,27.43,23.21,24.40,27.37,33.61,21.55
48.33,23.46,28.86,26.60,23.45,21.59,28.26,26.25,22.47,23.40,26.21,32.44,20.61
49.10,22.88,28.28,26.11,22.42,20.98,27.07,25.41,21.87,22.57,25.18,31.47,19.72
49.87,22.35,27.76,25.80,21.38,20.52,26.08,25.01,21.44,21.94,24.42,30.72,18.97
50.64,21.83,27.22,25.55,20.49,20.09,25.40,24.98,21.26,21.44,23.95,30.16,18.37
51.41,21.27,26.58,25.17,19.85,19.84,24.98,25.10,21.47,20.94,23.68,29.63,17.86
52.18,20.59,25.80,24.43,19.44,19.59,24.57,25.07,22.21,20.32,23.42,28.90,17.32
52.95,19.68,24.85,23.17,19.15,18.94,23.93,24.64,23.49,19.52,22.91,27.78,16.61
53.72,18.51,23.67,21.42,18.75,18.10,22.92,23.65,25.13,18.52,21.94,26.16,15.69
54.49,17.13,22.25,19.38,18.01,17.06,21.56,22.16,26.76,17.31,20.45,24.12,14.56
55.26,15.70,20.65,17.34,16.75,15.86,19.99,20.36,28.08,15.97,18.58,21.87,13.29
56.03,14.32,18.97,15.55,15.00,14.58,18.34,18.51,28.93,14.59,16.61,19.67,11.96
56.80,13.09,17.35,14.13,12.98,13.28,16.72,16.85,29.33,13.25,14.81,17.70,10.69
57.57,12.06,15.88,13.11,11.00,12.05,15.19,15.51,29.39,12.03,13.37,16.06,9.58
58.34,11.33,14.64,12.40,9.36,10.97,13.81,14.46,29.23,10.96,12.37,14.76,8.69
59.11,10.96,13.64,11.88,8.21,10.11,12.62,13.59,28.99,10.08,11.79,13.74,8.00
59.88,10.91,12.89,11.40,7.54,9.41,11.63,12.78,28.86,9.37,11.53,12.92,7.42
60.65,11.04,12.34,10.84,7.22,8.75,10.82,11.98,28.97,8.76,11.44,12.23,6.88
61.42,11.23,11.97,10.17,7.08,8.05,10.14,11.21,29.42,8.16,11.33,11.65,6.36
62.19,11.48,11.78,9.45,7.02,7.36,9.58,10.53,30.17,7.60,11.07,11.22,5.88
62.96,11.92,11.77,8.80,7.01,6.79,9.11,10.00,31.04,7.17,10.64,10.99,5.48
63.73,12.74,11.93,8.35,7.03,6.43,8.70,9.60,31.76,6.96,10.09,10.97,5.15
64.50,14.06,12.25,8.17,7.02,6.24,8.28,9.26,32.07,6.97,9.50,11.07,4.87
65.27,15.88,12.72,8.28,6.87,6.14,7.80,8.91,31.86,7.04,8.92,11.17,4.59
66.04,18.02,13.38,8.64,6.58,6.04,7.24,8.53,31.32,6.97,8.36,11.18,4.30
66.81,20.29,14.25,9.23,6.25,5.91,6.66,8.14,30.93,6.65,7.81,11.09,4.01
67.58,22.58,15.36,10.04,6.07,5.78,6.21,7.88,31.07,6.20,7.32,10.99,3.78
68.35,24.99,16.77,11.14,6.23,5.69,6.08,7.90,31.21,5.90,7.01,11.09,3.76
69.12,27.89,18.60,12.67,6.87,5.74,6.51,8.38,32.46,6.08,7.13,11.67,4.12
69.89,31.77,21.10,14.85,8.04,6.09,7.71,9.50,34.58,6.94,7.94,13.00,5.07
70.66,37.08,24.59,17.84,9.76,6.94,9.85,11.35,37.24,8.55,9.65,15.18,6.77
71.43,43.92,29.24,21.63,11.99,8.47,12.86,13.84,40.13,10.76,12.20,17.98,9.24
72.20,51.90,34.89,25.83,14.55,10.70,16.39,16.65,42.98,13.24,15.25,20.84,12.27
72.97,60.17,40.93,29.79,17.12,13.33,19.78,19.23,45.50,15.54,18.12,23.02,15.38
73.74,67.76,46.41,32.76,19.25,15.79,22.24,21.00,47.24,17.10,20.05,23.90,17.82
74.51,73.82,50.43,34.18,20.49,17.42,22.70,21.49,47.66,17.28,20.47,23.14,18.87
75.28,77.83,52.39,33.90,20.62,17.76,23.16,20.52,46.46,17.46,19.24,20.85,18.15
76.05,79.64,52.26,32.19,19.62,16.78,22.35,18.30,43.86,16.43,16.73,17.56,15.89
76.82,79.50,50.47,29.62,17.78,14.83,20.08,15.39,40.57,14.18,13.57,14.01,12.82
77.59,78.00,47.81,26.85,15.56,12.42,16.97,12.46,37.47,11.25,10.46,10.88,9.81
78.36,75.99,45.14,24.51,13.44,10.01,13.72,10.06,35.11,8.33,7.90,8.55,7.44
79.13,74.42,43.16,23.04,11.81,7.93,10.87,8.45,33.55,5.95,6.08,7.09,5.85
79.90,74.17,42.29,22.67,10.81,6.32,8.73,7.51,32.47,4.30,4.95,6.32,4.85
80.67,75.81,42.61,23.40,10.39,5.25,7.34,6.95,31.50,3.28,4.28,5.97,4.18
81.44,79.57,43.99,25.05,10.37,4.64,6.58,6.51,30.34,2.68,3.83,5.80,3.71
82.21,85.29,46.29,27.32,10.56,4.35,6.26,6.14,28.82,2.32,3.44,5.64,3.43
82.98,92.48,49.37,29.84,10.69,4.24,6.23,5.89,26.75,2.09,3.10,5.43,3.41
83.75,100.49,53.10,32.25,10.83,4.27,6.37,5.81,23.96,1.92,2.86,5.20,3.73
84.52,108.64,57.26,34.31,11.16,4.44,6.59,5.83,20.31,1.78,2.76,5.02,4.33
85.29,116.34,61.46,35.96,11.64,4.77,6.75,5.86,15.92,1.67,2.78,4.91,5.11
86.06,123.24,65.32,37.30,12.32,5.23,6.77,5.81,11.29,1.60,2.84,4.88,5.92
86.83,129.33,68.63,38.53,13.17,5.72,6.65,5.63,7.17,1.54,2.89,4.93,6.67
87.60,135.02,71.52,39.79,14.02,6.12,6.47,5.35,4.20,1.47,2.90,5.06,7.34
88.37,140.96,74.35,41.22,14.72,6.44,6.32,5.07,2.53,1.37,2.87,5.22,7.91
89.14,147.73,77.49,42.85,15.21,6.79,6.26,4.89,1.83,1.23,2.84,5.34,8.32
89.91,155.59,81.15,44.68,15.59,7.32,6.31,4.86,1.59,1.06,2.81,5.39,8.46
90.68,164.42,85.29,46.68,15.97,8.09,6.47,4.95,1.42,0.86,2.79,5.41,8.29
91.45,173.89,89.74,48.85,16.48,9.00,6.76,5.09,1.18,0.60,2.82,5.46,7.86
92.22,183.67,94.34,51.18,17.16,9.86,7.14,5.25,0.93,0.32,2.93,5.53,7.34
92.99,193.53,98.96,53.65,18.06,10.51,7.55,5.43,0.75,0.07,3.16,5.52,6.93
93.76,203.27,103.57,56.22,19.15,10.88,7.91,5.55,0.70,0.00,3.49,5.44,6.75
94.53,212.57,108.13,58.77,20.34,11.00,8.16,5.67,0.73,0.00,3.84,5.35,6.80
95.30,221.19,112.57,61.22,21.50,10.99,8.36,5.97,0.80,0.08,4.16,4.96,7.03
96.07,229.11,116.83,63.53,22.54,10.94,8.58,6.27,0.86,0.21,4.35,4.39,7.39
96.84,236.69,120.97,65.74,23.38,10.93,8.86,6.48,0.91,0.25,4.36,3.74,7.87
97.61,244.41,125.13,67.89,24.02,11.02,9.19,6.54,0.94,0.18,4.10,3.17,8.47
98.38,252.35,129.41,69.95,24.49,11.24,9.54,6.44,0.92,0.00,3.60,2.74,9.13
99.15,259.98,133.71,71.77,24.87,11.61,9.87,6.24,0.78,0.00,2.97,2.50,9.74
99.92,266.51,137.66,73.25,25.30,12.05,10.15,6.08,0.48,0.00,2.45,2.43,10.20
100.69,271.58,140.91,74.47,25.88,12.47,10.35,6.04,0.08,0.00,2.19,2.54,10.48
101.46,276.01,143.58,75.88,26.67,12.83,10.47,6.21,0.00,0.00,2.19,2.77,10.63
102.23,282.37,146.62,78.48,27.62,13.16,10.55,6.57,0.00,0.00,2.33,3.07,10.72
103.00,295.94,152.07,84.25,28.67,13.55,10.70,7.00,0.00,0.00,2.43,3.35,10.85
103.77,326.69,163.76,96.70,29.86,14.17,11.02,7.40,0.00,0.00,2.42,3.57,11.06
104.54,391.79,188.66,121.36,31.57,15.39,11.71,7.73,0.00,0.00,2.35,3.72,11.37
105.31,516.10,237.78,165.08,34.71,17.91,13.21,8.14,0.00,0.18,2.29,3.86,11.75
106.08,726.32,324.85,233.39,41.08,22.87,16.18,9.01,0.00,0.53,2.30,4.05,12.15
106.85,1037.33,460.61,326.29,53.31,31.60,21.44,10.81,0.12,0.81,2.42,4.29,12.53
107.62,1435.75,644.19,435.00,74.19,44.99,29.56,13.95,0.22,1.02,2.65,4.53,12.83
108.38,1873.12,856.87,542.75,105.06,62.59,40.29,18.46,0.26,1.16,2.93,4.71,13.03
109.15,2278.13,1064.57,630.42,144.05,82.23,52.39,23.93,0.25,1.25,3.21,4.75,13.11
109.92,2583.92,1230.18,684.24,185.67,100.56,63.83,29.55,0.21,1.27,3.31,4.66,13.06
110.69,2753.32,1328.83,700.53,222.57,114.52,72.57,34.33,0.17,1.26,3.40,4.51,12.90
111.46,2785.90,1356.00,685.13,248.76,122.62,77.41,37.59,0.18,1.27,3.48,4.40,12.68
112.23,2707.66,1324.51,649.32,262.06,125.22,78.29,39.09,0.29,1.37,3.49,4.44,12.46
113.00,2557.44,1255.65,606.13,264.08,123.70,76.13,39.10,0.55,1.55,3.48,4.65,12.33
113.77,2380.92,1172.50,568.27,258.26,119.59,72.30,38.11,0.90,1.73,3.51,4.95,12.30
114.54,2229.07,1097.77,546.67,247.96,114.26,68.26,36.65,1.22,1.83,3.62,5.21,12.34
115.31,2151.01,1052.50,548.22,236.09,109.25,65.31,35.24,1.38,1.79,3.79,5.28,12.37
116.08,2179.33,1052.06,573.42,225.78,106.35,64.41,34.36,1.34,1.61,3.99,5.08,12.35
116.85,2316.90,1100.80,616.30,220.57,107.16,66.02,34.41,1.18,1.34,4.16,4.70,12.21
117.62,2536.06,1190.02,667.33,223.47,112.45,70.04,35.59,1.01,1.05,4.24,4.30,11.95
118.39,2792.63,1302.00,718.44,235.64,121.82,75.90,37.81,0.83,0.83,4.23,4.02,11.61
119.16,3048.46,1418.94,767.38,255.82,133.91,82.73,40.75,0.65,0.78,4.14,3.92,11.33
119.93,3291.46,1532.33,819.49,281.03,147.11,89.77,44.08,0.49,0.97,4.00,3.97,11.22
120.70,3543.04,1648.17,885.54,308.13,160.39,96.71,47.58,0.44,1.33,3.84,4.10,11.33
121.47,3847.99,1784.96,976.47,335.38,173.90,103.94,51.24,0.53,1.71,3.69,4.26,11.67
122.24,4249.71,1964.22,1096.93,363.41,188.94,112.45,55.29,0.66,1.98,3.57,4.39,12.12
123.01,4762.52,2197.61,1241.05,394.96,207.23,123.28,60.04,0.72,2.10,3.46,4.40,12.53
123.78,5356.70,2477.14,1393.15,433.39,229.71,136.74,65.79,0.65,2.09,3.32,4.22,12.81
124.55,5967.50,2775.01,1533.98,480.28,242.61,151.99,72.49,0.51,2.03,3.16,3.87,12.93
125.32,6525.66,3054.90,1649.73,533.62,255.52,167.11,79.63,0.41,1.94,3.07,3.50,12.96
126.09,6992.89,3289.58,1738.61,587.89,281.94,179.97,86.25,0.42,1.83,3.16,3.28,13.00
126.86,7379.83,3474.92,1810.85,636.42,305.40,189.25,91.45,0.56,1.70,3.43,3.30,13.06
127.63,7733.07,3630.50,1881.18,674.66,323.17,195.11,94.84,0.80,1.59,3.80,3.56,13.06
128.40,8096.84,3785.01,1957.99,702.29,334.67,199.12,96.70,1.12,1.53,4.12,3.93,12.92
129.17,8473.82,3954.43,2036.61,722.69,341.45,203.19,97.86,1.46,1.55,4.29,4.27,12.61
129.94,8813.99,4128.08,2101.52,740.05,345.91,208.37,99.13,1.68,1.62,4.30,4.50,12.17
130.71,9041.87,4273.30,2135.90,756.12,349.63,214.18,100.88,1.65,1.73,4.18,4.61,11.71
131.48,9102.12,4355.74,2130.49,768.98,352.43,218.98,102.88,1.34,1.84,3.95,4.64,11.36
132.25,8986.33,4358.40,2084.71,774.90,352.96,221.07,104.49,0.86,1.91,3.63,4.60,11.18
133.02,8720.34,4283.82,2000.70,771.59,350.08,219.56,105.13,0.39,1.90,3.22,4.48,11.22
133.79,8327.50,4139.73,1878.29,759.95,343.77,214.33,104.59,0.08,1.77,2.80,4.28,11.45
134.56,7805.96,3924.96,1717.06,742.51,334.76,205.41,102.80,0.00,1.48,2.50,4.04,11.81
135.33,7143.20,3631.87,1523.95,720.01,323.27,192.56,99.58,0.04,1.07,2.46,3.83,12.27
136.10,6354.48,3263.88,1317.89,689.65,308.22,175.71,94.60,0.14,0.65,2.72,3.71,12.81
136.87,5508.64,2850.93,1125.99,646.94,287.87,155.72,87.63,0.15,0.37,3.17,3.67,13.41
137.64,4716.49,2447.10,973.55,589.96,261.45,134.70,78.98,0.00,0.29,3.65,3.61,14.07
138.41,4089.25,2111.00,875.20,522.68,230.62,115.43,69.59,0.00,0.38,4.01,3.45,14.77
139.18,3697.10,1883.66,832.52,454.59,199.40,100.39,60.81,0.00,0.55,4.20,3.18,15.45
139.95,3551.38,1777.78,837.07,396.98,172.65,90.91,53.86,0.00,0.67,4.26,2.94,16.05
140.72,3612.00,1780.29,874.68,358.33,154.17,87.06,49.51,0.00,0.70,4.24,2.92,16.63
141.49,3805.54,1861.07,928.22,341.53,145.36,87.91,47.87,0.00,0.63,4.18,3.21,17.26
142.26,4043.41,1980.98,979.64,343.72,145.10,91.89,48.50,0.00,0.57,4.12,3.73,18.00
143.03,4239.58,2098.54,1012.81,357.99,150.46,97.06,50.52,0.00,0.57,4.10,4.21,18.85
143.80,4330.46,2177.62,1017.65,375.70,157.66,101.44,52.79,0.00,0.63,4.21,4.40,19.79
144.57,4293.01,2196.45,993.36,388.78,163.09,103.42,54.24,0.00,0.65,4.43,4.19,20.78
145.34,4151.36,2154.29,948.65,391.70,164.23,102.25,54.21,0.00,0.57,4.64,3.69,21.69
146.11,3964.72,2071.32,898.11,382.84,160.40,98.31,52.63,0.00,0.42,4.70,3.15,22.34
146.88,3800.99,1980.42,856.52,364.71,152.77,92.95,50.01,0.00,0.30,4.53,2.80,22.53
147.65,3709.85,1914.31,834.07,342.77,143.85,88.00,47.20,0.00,0.30,4.23,2.78,22.16
148.42,3710.67,1894.71,835.14,323.34,136.48,85.09,45.03,0.00,0.43,3.93,3.04,21.29
149.19,3800.88,1929.47,860.65,311.51,132.89,85.24,44.12,0.00,0.62,3.74,3.41,20.19
149.96,3977.29,2018.46,911.59,310.17,134.24,88.80,44.83,0.10,0.78,3.66,3.65,19.13
150.73,4256.64,2162.88,991.02,320.51,140.89,95.81,47.26,0.54,0.81,3.65,3.59,18.31
151.50,4685.71,2371.75,1104.12,343.29,152.95,106.48,51.56,0.95,0.70,3.66,3.25,17.77
152.27,5338.75,2663.00,1258.06,379.94,170.81,121.22,57.93,1.21,0.50,3.68,2.77,17.40
153.04,6301.26,3061.23,1462.64,432.54,195.10,140.46,66.59,1.27,0.30,3.72,2.33,17.11
153.81,7638.21,3593.48,1729.86,502.98,226.30,164.36,77.59,1.19,0.21,3.78,2.03,16.90
154.58,9348.60,4280.55,2069.00,592.27,264.45,192.75,90.70,1.10,0.28,3.90,1.89,16.88
155.35,11319.93,5120.64,2475.87,700.49,309.30,225.17,105.56,1.10,0.48,4.07,1.90,17.16
156.12,13304.62,6067.40,2919.22,826.93,360.55,260.74,121.82,1.26,0.72,4.26,2.04,17.79
156.89,14940.41,7012.29,3332.69,968.82,417.23,297.47,139.04,1.52,0.91,4.39,2.28,18.69
157.66,15828.08,7786.00,3622.52,1117.73,476.06,331.36,156.17,1.73,0.99,4.39,2.56,19.71
158.43,15659.32,8192.51,3695.92,1255.25,529.44,356.09,171.05,1.75,0.99,4.23,2.84,20.65
159.20,14352.75,8075.35,3501.71,1352.46,565.44,364.33,180.37,1.52,0.98,3.99,3.10,21.32
159.97,12123.81,7391.55,3060.67,1377.35,571.16,350.61,180.66,1.10,1.02,3.76,3.35,21.62
160.74,9427.39,6249.90,2463.86,1309.14,538.80,314.53,169.98,0.69,1.11,3.58,3.63,21.49
161.51,6785.87,4880.67,1835.76,1151.22,470.77,261.91,149.21,0.48,1.21,3.45,3.94,20.97
162.28,4596.95,3546.03,1284.22,933.27,379.91,202.83,122.07,0.57,1.33,3.39,4.23,20.20
163.05,3029.33,2442.70,866.73,699.56,284.24,147.56,93.69,0.94,1.48,3.39,4.42,19.40
163.82,2043.57,1651.58,587.77,490.64,199.62,102.93,68.55,1.42,1.68,3.48,4.45,18.87
164.59,1489.65,1150.68,418.95,329.76,134.69,71.07,49.15,1.82,1.91,3.68,4.29,18.87
165.36,1203.81,864.90,323.13,220.57,90.50,50.48,35.82,1.99,2.07,3.94,3.96,19.49
166.13,1061.00,713.61,269.52,153.74,63.25,38.07,27.47,1.87,2.09,4.16,3.60,20.61
166.90,984.66,635.48,237.87,115.75,47.69,30.81,22.56,1.56,1.99,4.25,3.37,21.99
167.67,935.81,592.61,216.79,94.85,39.22,26.46,19.69,1.21,1.86,4.22,3.37,23.33
168.44,898.48,565.09,200.56,83.02,34.55,23.71,17.95,0.99,1.82,4.18,3.63,24.40
169.21,868.19,544.12,186.57,75.58,31.68,21.87,16.83,0.94,1.89,4.28,4.01,25.05
169.97,844.21,526.67,173.61,70.07,29.58,20.64,16.07,0.99,2.05,4.57,4.35,25.25
170.74,825.79,511.90,161.01,65.35,27.81,19.86,15.54,1.05,2.27,4.99,4.55,25.09
171.51,811.51,499.22,148.38,60.95,26.27,19.36,15.08,1.08,2.48,5.37,4.56,24.77
172.28,800.42,487.95,135.73,56.71,24.91,18.97,14.57,1.09,2.62,5.57,4.42,24.52
173.05,793.04,477.70,123.44,52.63,23.68,18.54,13.97,1.10,2.64,5.53,4.20,24.53
173.82,791.13,468.82,112.15,48.84,22.59,18.01,13.35,1.10,2.51,5.50,4.00,24.86
174.59,796.48,462.29,102.40,45.55,21.67,17.43,12.80,1.09,2.24,5.23,3.89,25.44
175.36,809.65,459.10,94.45,42.99,21.00,16.92,12.36,1.03,1.86,4.88,3.86,26.12
