Size (nt),"D1: E. coli Total RNA","D2: E. coli Total RNA","D3: E. coli Total RNA","D4: E. coli Total RNA","D5: E. coli Total RNA","D6: E. coli Total RNA","D7: E. coli Total RNA","D8: DM","D9: DM","D10: DM","D11: DM","D12: RNA Ladder"
839.45,696.41,599.68,314.95,175.65,78.18,47.85,24.59,0.00,0.00,1.21,0.00,99.58
843.79,696.27,578.34,302.38,167.70,74.75,46.42,23.88,0.00,0.00,1.56,0.00,99.28
848.13,704.47,567.18,295.12,160.24,71.42,44.75,23.07,0.00,0.00,1.74,0.00,99.00
852.47,716.01,566.85,292.94,154.56,68.80,43.19,22.33,0.00,0.00,1.75,0.00,98.88
856.81,725.58,575.28,294.35,151.33,67.15,42.05,21.79,0.00,0.00,1.62,0.00,99.09
861.15,728.37,588.56,297.22,150.52,66.42,41.48,21.46,0.00,0.00,1.51,0.00,99.81
865.49,720.89,602.02,299.41,151.51,66.32,41.46,21.33,0.00,0.00,1.41,0.00,101.12
869.83,701.98,611.32,299.27,153.24,66.43,41.78,21.32,0.00,0.00,1.14,0.00,102.96
874.17,673.47,613.33,295.93,154.61,66.38,42.17,21.41,0.00,0.00,0.85,0.00,105.21
878.50,640.09,606.76,289.35,154.71,65.86,42.33,21.52,0.00,0.00,0.59,0.00,107.77
882.84,608.21,592.47,280.23,153.07,64.75,42.06,21.58,0.00,0.00,0.40,0.00,110.61
887.18,583.69,573.26,269.91,149.71,63.10,41.29,21.48,0.00,0.00,0.29,0.00,113.71
891.52,570.02,553.20,260.01,145.00,61.08,40.06,21.17,0.00,0.00,0.20,0.00,116.90
895.86,567.36,536.45,252.07,139.62,58.95,38.53,20.70,0.00,0.00,0.09,0.00,119.91
900.20,572.96,526.03,247.13,134.37,56.94,36.97,20.18,0.00,0.00,0.00,0.00,122.45
904.54,582.65,522.99,245.41,130.03,55.25,35.69,19.71,0.00,0.00,0.00,0.00,124.36
908.88,592.59,526.41,246.31,127.09,54.01,34.92,19.34,0.00,0.00,0.00,0.00,125.60
913.22,600.58,533.99,248.67,125.66,53.26,34.71,19.11,0.00,0.00,0.12,0.00,126.15
917.56,606.30,543.11,251.26,125.42,52.92,34.95,19.06,0.00,0.00,0.30,0.00,126.04
921.90,610.83,551.75,253.27,125.81,52.86,35.38,19.17,0.00,0.00,0.45,0.00,125.44
926.23,615.68,558.95,254.54,126.33,52.89,35.75,19.39,0.00,0.00,0.50,0.00,124.74
930.57,622.02,564.90,255.50,126.72,52.94,35.93,19.60,0.00,0.00,0.46,0.00,124.50
934.91,630.43,570.63,256.84,127.03,53.03,35.93,19.71,0.00,0.00,0.38,0.00,125.45
939.25,641.08,577.44,259.18,127.51,53.29,35.84,19.76,0.00,0.00,0.33,0.00,128.66
943.59,654.26,586.37,262.88,128.42,53.88,35.76,19.87,0.00,0.00,0.33,0.00,136.10
947.93,670.91,597.75,267.93,129.91,54.87,35.75,20.16,0.00,0.00,0.37,0.00,151.50
952.27,692.81,611.34,274.11,131.99,56.22,35.87,20.66,0.00,0.00,0.41,0.00,181.40
956.61,722.06,626.90,281.24,134.60,57.85,36.22,21.29,0.00,0.00,0.40,0.00,235.59
960.95,760.10,644.77,289.42,137.76,59.66,36.90,21.92,0.00,0.00,0.34,0.00,326.58
965.29,806.38,665.97,299.03,141.53,61.66,37.90,22.43,0.00,0.00,0.20,0.00,467.18
969.63,857.54,691.72,310.43,146.04,63.93,39.12,22.82,0.00,0.00,0.00,0.00,666.18
973.97,907.67,722.46,323.62,151.36,66.56,40.40,23.13,0.00,0.00,0.00,0.00,922.92
978.30,949.84,757.07,337.91,157.46,69.54,41.65,23.46,0.00,0.00,0.00,0.00,1223.13
982.64,978.42,792.57,351.92,164.23,72.68,42.88,23.87,-5.59,0.00,0.00,0.00,1538.69
986.98,991.11,824.61,363.91,171.44,75.69,44.20,24.42,0.00,0.00,0.00,0.00,1832.52
991.32,989.61,848.73,372.30,178.62,78.27,45.68,25.05,0.00,0.00,0.00,0.00,2067.45
995.66,978.77,861.78,376.13,185.09,80.20,47.24,25.72,0.00,0.00,0.00,0.00,2215.54
1000.00,964.48,863.02,375.36,190.03,81.39,48.69,26.32,0.00,0.00,0.00,0.00,2264.36
1001.00,951.46,854.36,370.75,192.78,81.90,49.83,26.75,0.00,0.00,0.00,0.00,2218.05
1008.23,941.86,839.48,363.61,193.09,81.87,50.56,26.99,0.00,0.00,0.00,0.00,2093.49
1015.46,935.08,822.56,355.41,191.28,81.44,50.85,27.05,0.00,0.00,0.00,0.00,1914.08
1022.70,928.99,806.90,347.48,188.05,80.69,50.75,27.01,0.00,0.00,0.00,0.00,1703.80
1029.93,921.45,794.14,340.65,184.22,79.67,50.33,26.97,0.00,0.00,0.00,0.00,1483.28
1037.16,911.61,784.31,335.16,180.43,78.42,49.66,26.91,0.00,0.00,0.00,0.00,1268.09
1044.39,900.20,776.36,330.73,176.97,77.07,48.86,26.75,0.00,0.00,0.00,0.00,1068.74
1051.62,889.09,769.02,326.90,173.88,75.73,47.99,26.36,0.00,0.00,0.00,0.00,891.67
1058.86,880.41,761.61,323.32,171.12,74.51,47.10,25.75,0.00,0.00,0.00,0.00,740.24
1066.09,875.86,754.34,320.08,168.67,73.38,46.22,25.03,0.00,0.00,0.00,0.00,615.22
1073.32,876.45,748.25,317.56,166.51,72.33,45.35,24.42,0.00,0.00,0.00,0.00,515.14
1080.55,882.79,744.52,316.19,164.68,71.39,44.58,24.09,0.00,0.00,0.00,0.00,436.81
1087.78,895.61,743.87,316.24,163.29,70.71,43.99,24.06,0.00,0.00,0.00,0.00,376.26
1095.01,916.16,746.38,317.76,162.54,70.45,43.71,24.23,0.00,0.00,0.00,0.00,329.60
1102.25,946.24,751.85,320.81,162.64,70.67,43.81,24.43,0.00,0.00,0.00,0.00,293.48
1109.48,987.83,760.38,325.65,163.75,71.32,44.25,24.51,0.00,0.00,0.00,0.00,265.11
1116.71,1042.45,772.71,332.77,165.90,72.38,44.94,24.50,0.00,0.00,0.00,0.00,242.26
1123.94,1110.59,790.20,342.77,169.04,73.95,45.79,24.52,0.00,0.00,0.00,0.00,223.19
1131.17,1191.10,814.30,356.05,173.20,76.19,46.84,24.72,0.00,0.00,0.00,0.00,206.67
1138.41,1280.47,845.91,372.58,178.55,79.24,48.19,25.20,0.00,0.00,0.00,0.00,191.91
1145.64,1372.16,884.73,391.67,185.30,83.07,49.94,25.98,0.00,0.00,0.00,0.00,178.56
1152.87,1456.70,928.78,411.87,193.47,87.41,52.07,27.05,0.00,0.00,0.00,0.00,166.60
1160.10,1523.28,974.26,431.12,202.70,91.86,54.45,28.34,0.00,0.00,0.00,0.00,156.18
1167.33,1562.88,1015.84,446.94,212.17,95.97,56.86,29.76,0.00,0.00,0.00,0.00,147.42
1174.57,1571.71,1047.65,457.03,220.79,99.36,59.13,31.16,0.00,0.00,0.00,0.00,140.26
1181.80,1553.07,1064.62,459.85,227.42,101.73,61.09,32.36,0.00,0.00,0.00,0.00,134.38
1189.03,1516.17,1064.02,455.22,231.12,102.90,62.56,33.17,0.00,0.00,0.00,0.00,129.38
1196.26,1472.30,1046.37,444.41,231.34,102.81,63.34,33.54,0.00,0.00,0.00,0.00,125.01
1203.49,1430.49,1015.47,429.75,228.10,101.55,63.32,33.49,0.00,0.00,0.00,0.00,121.26
1210.72,1394.99,977.35,413.86,221.98,99.37,62.53,33.31,0.00,0.00,0.00,-5.67,118.25
1217.96,1365.42,938.41,398.92,214.04,96.63,61.19,33.14,0.00,0.00,0.00,0.00,115.98
1225.19,1338.90,903.54,386.19,205.52,93.67,59.55,32.57,0.00,0.00,0.00,0.00,114.24
1232.42,1312.39,874.97,375.89,197.51,90.74,57.86,31.84,0.00,0.00,0.00,0.00,112.76
1239.65,1284.17,852.27,367.47,190.75,88.00,56.30,30.98,0.00,0.00,0.00,0.00,111.36
1246.88,1253.94,833.33,359.99,185.45,85.56,54.99,30.12,0.00,0.00,0.00,0.00,110.05
1254.12,1222.40,815.75,352.60,181.39,83.49,53.90,29.39,0.00,0.00,0.00,0.00,108.88
1261.35,1190.69,797.88,344.80,178.14,81.77,52.92,28.86,0.00,0.00,0.00,0.00,107.79
1268.58,1160.20,779.14,336.49,175.21,81.02,51.91,28.44,0.00,0.00,0.00,0.00,106.54
1275.81,1132.38,759.78,327.82,172.25,80.28,50.79,28.00,0.00,0.00,0.00,0.00,104.94
1283.04,1108.48,740.48,319.17,169.02,78.82,49.63,27.47,0.00,0.00,0.00,0.00,102.96
1290.28,1089.11,722.02,310.99,165.51,77.24,48.56,26.89,0.00,0.00,0.00,0.00,100.81
1297.51,1074.08,705.16,303.75,161.89,75.52,47.68,26.40,0.00,0.00,0.00,0.00,98.80
1304.74,1062.62,690.59,297.78,158.53,73.79,47.05,26.08,0.00,0.00,0.00,0.00,97.20
1311.97,1053.93,678.76,293.16,155.76,72.20,46.60,25.92,0.00,0.00,0.00,0.00,96.17
1319.20,1047.68,669.73,289.78,153.73,70.87,46.25,25.85,0.00,0.00,0.00,0.00,95.68
1326.43,1044.26,663.13,287.43,152.41,69.86,45.90,25.72,0.00,0.00,0.00,0.00,95.63
1333.67,1044.60,658.34,285.95,151.66,69.13,45.51,25.44,0.00,0.00,0.00,0.00,95.88
1340.90,1049.71,654.85,285.30,151.34,68.66,45.12,24.97,0.00,0.00,0.00,0.00,96.32
1348.13,1060.35,652.56,285.51,151.34,68.45,44.86,24.38,0.00,0.00,0.00,0.00,96.89
1355.36,1076.86,651.84,286.66,151.60,68.46,44.79,23.78,0.00,0.00,-2.46,0.00,97.59
1362.59,1099.25,653.28,288.85,152.15,68.64,44.88,23.24,0.00,0.00,0.00,0.00,98.59
1369.83,1127.42,657.40,292.16,153.07,68.93,44.99,22.84,0.00,0.00,0.00,0.00,100.22
1377.06,1161.29,664.48,296.62,154.46,69.34,45.01,22.59,0.00,0.00,0.00,0.00,102.89
1384.29,1201.15,674.59,302.21,156.38,69.98,44.92,22.51,0.00,0.00,0.00,0.00,106.98
1391.52,1248.51,687.67,308.91,158.83,70.99,44.85,22.62,0.00,-3.58,0.00,0.00,112.86
1398.75,1307.31,703.70,316.91,161.82,72.46,44.79,22.93,0.00,0.00,0.00,0.00,121.25
1405.99,1385.18,722.87,326.79,165.42,74.37,44.79,23.45,0.00,0.00,0.00,0.00,134.09
1413.22,1493.60,746.06,339.67,169.80,76.57,45.11,24.12,0.00,0.00,0.00,0.00,155.73
1420.45,1646.15,775.38,357.15,175.25,79.00,45.89,24.87,0.00,0.00,0.00,0.00,194.17
1427.68,1854.56,814.52,381.35,182.23,81.77,47.21,25.60,0.00,0.00,0.00,0.00,261.88
1434.91,2123.42,868.59,414.51,191.38,85.26,49.10,26.28,0.00,0.00,0.00,0.00,375.37
1442.14,2445.33,942.85,458.30,203.56,90.07,51.64,27.03,0.00,0.00,0.00,0.00,552.63
1449.38,2798.99,1040.78,512.87,219.64,96.88,54.96,28.10,0.00,0.00,0.00,0.00,807.73
1456.61,3152.08,1161.68,576.01,240.23,106.25,59.23,29.76,0.00,0.00,0.00,0.00,1143.17
1463.84,3469.55,1299.22,643.07,265.17,118.31,64.62,32.18,0.00,0.00,0.00,0.00,1542.47
1471.07,3726.00,1441.55,707.82,293.18,132.62,71.20,35.33,0.00,0.00,0.00,0.00,1967.24
1478.30,3920.20,1573.66,764.07,321.89,148.05,78.85,39.01,0.00,0.00,0.00,0.00,2362.00
1485.54,4090.25,1681.64,807.55,348.25,163.08,87.14,42.90,0.00,0.00,0.00,0.00,2666.83
1492.77,4329.69,1757.67,837.68,369.51,176.19,95.39,46.64,0.00,0.00,0.00,0.00,2833.69
1500.00,4805.38,1804.85,859.07,384.17,186.31,102.74,49.89,0.00,0.00,0.00,0.00,2839.96
1501.00,5772.61,1841.44,883.47,392.83,193.21,108.57,52.41,0.00,0.00,0.00,0.00,2693.92
1510.24,7571.09,1905.37,932.85,398.86,197.91,112.71,54.19,0.00,0.00,0.00,0.00,2430.14
1519.48,10574.01,2060.91,1043.54,409.32,202.95,115.63,55.49,0.00,0.00,0.00,0.00,2097.51
1528.72,15065.40,2406.53,1269.64,436.62,213.08,118.46,56.84,0.00,0.00,0.00,0.00,1745.30
1537.96,21054.13,3077.86,1681.36,500.82,236.21,123.25,59.03,0.00,0.00,0.00,0.00,1412.60
1547.20,28096.41,4234.16,2353.11,631.24,284.35,133.50,63.43,0.00,0.00,0.00,0.00,1123.58
1556.44,35252.42,6018.14,3338.95,864.68,373.53,154.79,72.26,0.00,0.00,0.00,0.00,888.15
1565.69,41277.22,8490.02,4639.79,1237.25,520.98,195.04,88.89,0.00,0.00,0.00,0.00,705.67
1574.93,45009.91,11554.75,6175.07,1769.52,738.90,263.46,117.44,0.00,0.00,0.00,0.00,569.46
1584.17,45770.76,14916.79,7775.54,2448.94,1025.95,367.61,161.53,0.00,0.00,0.00,0.00,470.45
1593.41,43553.04,18098.69,9208.35,3217.88,1360.31,509.01,222.31,0.00,0.00,0.00,0.00,399.61
1602.65,38943.07,20540.11,10232.42,3976.04,1699.14,679.14,296.70,0.00,0.00,0.00,0.00,349.17
1611.89,32872.12,21756.16,10666.23,4600.93,1987.17,858.20,376.71,0.00,0.00,0.00,0.00,313.05
1621.13,26345.51,21496.70,10442.06,4981.33,2172.49,1018.54,450.68,0.00,0.00,0.00,0.00,286.88
1630.37,20226.05,19835.73,9624.75,5051.04,2222.97,1132.14,506.23,0.00,0.00,0.00,0.00,267.62
1639.61,15091.07,17145.76,8387.40,4808.74,2136.03,1179.35,533.97,0.00,0.00,0.00,0.00,253.09
1648.85,11179.93,13966.31,6954.97,4315.70,1937.59,1155.02,530.38,0.00,0.00,0.15,0.00,241.58
1658.09,8442.74,10827.92,5539.52,3673.38,1671.33,1069.09,498.61,0.00,0.00,0.38,0.00,231.63
1667.33,6659.06,8110.67,4292.34,2991.24,1384.05,942.00,446.92,0.00,0.00,0.41,0.00,222.15
1676.57,5561.45,5988.92,3286.89,2358.17,1113.34,797.40,385.59,0.00,0.00,0.26,0.00,212.49
1685.81,4913.34,4461.80,2530.30,1827.07,881.60,655.60,323.87,0.00,0.00,0.03,0.00,202.48
1695.06,4534.38,3428.45,1989.59,1414.82,696.65,529.94,268.06,0.00,0.00,0.00,0.00,192.32
1704.30,4295.65,2760.39,1617.37,1112.88,556.19,426.40,221.17,0.00,0.00,0.00,0.00,182.35
1713.54,4108.15,2344.60,1368.41,900.62,452.96,345.37,183.60,0.00,0.00,0.00,0.00,172.99
1722.78,3915.28,2096.66,1206.38,755.58,378.59,284.03,154.28,0.00,0.00,0.00,0.00,164.61
1732.02,3689.32,1956.65,1104.10,658.47,325.49,238.41,131.61,0.00,0.00,0.00,0.00,157.46
1741.26,3427.95,1880.87,1041.20,594.47,287.52,204.65,114.09,0.00,0.00,0.00,0.00,151.56
1750.50,3147.93,1835.87,1001.74,552.48,259.87,179.56,100.55,0.00,0.00,0.28,0.00,146.81
1759.74,2875.76,1796.36,972.97,524.10,238.92,160.75,90.17,0.00,0.00,0.72,0.00,143.01
1768.98,2637.93,1745.49,945.25,502.76,221.95,146.43,82.26,0.00,0.00,1.27,0.00,140.03
1778.22,2453.49,1675.56,912.48,483.24,206.95,135.22,76.20,0.00,0.00,1.79,0.00,137.81
1787.46,2330.80,1587.52,872.30,461.75,192.51,125.98,71.40,0.00,0.00,2.16,0.00,136.36
1796.70,2267.88,1488.87,825.60,436.14,177.81,117.77,67.39,0.00,0.00,2.30,0.00,135.62
1805.94,2255.07,1390.28,775.54,406.05,162.64,109.96,63.85,0.00,0.00,2.21,0.00,135.42
1815.19,2278.36,1302.19,726.28,372.76,147.39,102.26,60.61,0.00,0.00,1.97,0.00,135.47
1824.43,2322.62,1232.22,681.86,338.55,132.84,94.69,57.57,0.00,0.00,1.73,0.00,135.51
1833.67,2374.05,1184.07,645.33,305.85,119.79,87.53,54.62,0.00,0.00,1.58,0.00,135.41
1842.91,2421.97,1157.71,618.27,276.53,108.74,81.08,51.76,0.00,0.00,1.56,0.00,135.26
1852.15,2459.53,1150.33,600.69,251.54,99.83,75.53,49.08,0.00,0.00,1.61,0.00,135.34
1861.39,2483.67,1157.41,591.27,230.97,92.93,70.91,46.73,0.00,0.00,1.63,0.00,136.20
1870.63,2494.34,1173.84,587.82,214.33,87.78,67.13,44.81,0.00,0.00,1.54,0.00,138.80
1879.87,2493.46,1194.71,587.81,200.96,84.18,64.13,43.35,0.00,0.25,1.30,0.00,145.04
1889.11,2483.65,1215.97,588.82,190.20,81.92,61.90,42.31,0.00,0.59,0.93,0.00,158.46
1898.35,2467.34,1234.68,588.78,181.46,80.74,60.43,41.59,0.00,0.86,0.52,0.00,185.04
1907.59,2446.23,1249.02,586.07,174.18,80.28,59.70,41.05,0.00,1.05,0.18,0.00,233.63
1916.83,2421.42,1258.12,579.57,167.87,80.13,59.64,40.56,0.00,1.23,0.00,0.00,315.52
1926.07,2393.86,1261.96,568.74,162.18,79.97,60.14,40.07,0.00,1.46,0.02,0.00,442.65
1935.31,2364.58,1261.15,553.53,156.87,79.64,60.98,39.59,0.00,1.77,0.23,0.00,623.96
1944.56,2334.62,1256.69,534.22,151.87,79.16,61.85,39.20,0.00,2.12,0.55,0.00,860.85
1953.80,2304.65,1249.66,511.34,147.14,78.60,62.48,38.97,0.00,2.38,0.93,0.00,1143.14
1963.04,2274.76,1240.90,485.56,142.62,78.04,62.69,38.95,0.00,2.46,1.34,0.00,1447.83
1972.28,2244.54,1230.79,457.73,138.23,77.45,62.48,39.10,0.00,2.39,1.80,0.00,1741.64
1981.52,2213.32,1219.38,428.72,133.89,76.77,61.99,39.35,0.00,2.30,2.28,0.00,1987.40
1990.76,2180.27,1206.56,399.32,129.49,75.94,61.37,39.59,0.00,2.32,2.70,0.00,2152.58
2000.00,2144.54,1192.41,370.12,124.97,74.93,60.78,39.72,0.00,2.47,2.94,0.00,2217.41
2001.00,2105.56,1177.12,341.58,120.30,73.75,60.35,39.69,0.00,2.70,2.97,0.00,2179.53
2015.91,2063.41,1160.89,314.13,115.55,72.44,60.10,39.51,0.00,2.92,2.82,0.00,2053.03
2030.82,2019.15,1143.76,288.20,110.88,71.12,59.98,39.23,0.00,3.09,2.58,0.00,1862.80
2045.73,1974.78,1125.66,264.11,106.52,69.92,59.84,38.90,0.00,3.21,2.36,0.00,1637.27
2060.64,1933.03,1106.57,242.01,102.64,68.93,59.56,38.54,0.00,3.33,2.22,0.00,1402.52
2075.55,1896.97,1086.63,221.85,99.30,68.12,59.10,38.21,0.00,3.48,2.18,0.00,1178.86
2090.46,1883.20,1066.14,203.52,97.90,67.76,58.53,37.96,-5.80,3.66,2.21,0.00,979.37
2105.37,1869.43,1045.58,171.96,96.50,67.40,57.96,37.77,0.00,3.85,2.23,0.00,810.27
2120.28,1852.53,1025.60,158.69,94.18,66.71,57.46,37.58,0.00,4.05,2.36,0.00,672.36
2135.19,1847.33,1007.01,147.17,92.28,66.05,57.05,37.30,0.00,4.31,2.54,0.00,563.10
2150.10,1853.96,990.73,137.46,90.72,65.44,56.72,36.93,0.00,4.65,2.77,0.00,478.37
2165.01,1871.96,977.72,129.51,89.43,64.98,56.38,36.50,0.00,5.04,3.08,0.00,413.63
2179.93,1900.69,968.80,123.21,88.32,64.70,55.94,36.08,0.00,5.35,3.49,0.00,364.60
2194.84,1939.29,964.51,118.32,87.39,64.62,55.38,35.72,0.00,5.49,3.96,0.00,327.56
2209.75,1986.49,964.92,114.61,86.79,64.68,54.77,35.48,0.00,5.49,4.44,0.00,299.46
2224.66,2040.11,969.69,111.93,86.76,64.87,54.25,35.43,0.00,5.47,4.88,0.00,277.94
2239.57,2096.48,978.09,110.19,87.57,65.22,53.98,35.62,0.00,5.51,5.26,0.00,261.16
2254.48,2150.38,989.24,109.31,89.39,65.86,54.00,35.99,0.00,5.61,5.59,0.00,247.72
2269.39,2195.76,1002.11,109.12,92.15,66.91,54.29,36.40,0.00,5.67,5.83,0.00,236.56
2284.30,2227.25,1015.40,109.33,95.64,68.46,54.79,36.69,0.00,5.64,5.98,0.00,226.90
2299.21,2241.82,1027.47,109.58,99.51,70.40,55.44,36.80,0.00,5.53,6.01,0.00,218.13
2314.12,2239.75,1036.44,109.55,103.48,72.50,56.22,36.78,0.00,5.46,5.98,0.00,209.88
2329.03,2224.62,1040.53,109.05,107.40,74.49,57.09,36.78,0.00,5.54,5.95,0.00,201.97
2343.94,2202.28,1038.57,107.97,111.19,76.16,58.01,36.86,0.00,5.79,5.94,0.00,194.45
2358.85,2179.26,1030.37,106.39,114.78,77.50,58.92,37.00,0.00,6.14,5.94,0.00,187.48
2373.76,2161.17,1016.86,104.53,117.98,78.59,59.76,37.09,0.00,6.46,5.91,0.00,181.18
2388.67,2151.60,999.93,102.69,120.57,79.49,60.50,37.07,0.00,6.67,5.83,0.00,175.60
2403.58,2151.90,981.89,101.16,122.42,80.17,61.11,36.95,0.00,6.81,5.74,0.00,170.69
2418.49,2161.63,964.97,100.17,123.61,80.59,61.50,36.83,0.00,6.94,5.70,0.00,166.29
2433.40,2179.04,950.84,99.85,124.44,80.76,61.60,36.81,0.00,7.08,5.73,0.00,162.21
2448.31,2201.35,940.53,100.24,125.29,80.84,61.35,36.93,0.00,7.21,5.81,0.39,158.26
2463.22,2224.98,934.51,101.33,126.48,81.09,60.81,37.15,0.00,7.28,5.88,0.98,154.36
2478.13,2246.04,932.74,103.12,128.14,81.72,60.11,37.34,0.00,7.27,5.92,1.37,150.59
2493.04,2261.02,934.57,105.57,130.29,82.82,59.47,37.39,0.00,7.20,5.97,1.57,147.11
2507.96,2267.56,938.82,108.57,132.86,84.29,59.06,37.23,0.00,7.08,6.08,1.64,144.01
2522.87,2264.67,943.94,111.92,135.76,85.96,59.00,36.92,0.00,6.90,6.29,1.66,141.29
2537.78,2252.61,948.32,115.37,138.91,87.70,59.27,36.63,0.00,6.66,6.56,1.71,138.83
2552.69,2232.49,950.52,118.66,142.22,89.47,59.78,36.53,0.00,6.40,6.84,1.85,136.49
2567.60,2205.93,949.45,121.59,145.54,91.30,60.40,36.68,0.00,6.19,7.14,2.09,134.13
2582.51,2174.96,944.54,124.02,148.69,93.17,61.04,37.06,0.00,6.11,7.46,2.42,131.71
2597.42,2142.05,935.81,125.86,151.46,95.00,61.63,37.54,0.00,6.21,7.79,2.80,129.36
2612.33,2110.28,923.79,127.11,153.64,96.68,62.09,37.97,0.00,6.41,8.04,3.24,127.36
2627.24,2083.61,909.28,127.91,155.09,98.11,62.38,38.26,0.00,6.62,8.22,3.77,126.00
2642.15,2067.93,893.16,128.47,155.81,99.24,62.53,38.41,0.16,6.80,8.35,4.39,125.39
2657.06,2073.76,876.29,129.05,155.92,100.02,62.62,38.46,0.39,6.92,8.45,5.04,125.43
2671.97,2122.47,859.67,129.93,155.60,100.44,62.72,38.48,0.66,7.00,8.52,5.61,125.87
2686.88,2258.64,844.70,131.42,155.04,100.55,62.87,38.46,1.00,7.02,8.49,6.02,126.58
2701.79,2570.65,833.63,133.95,154.35,100.49,63.01,38.38,1.37,7.02,8.38,6.30,127.64
2716.70,3217.97,830.35,138.33,153.65,100.45,63.07,38.24,1.68,7.02,8.27,6.52,129.33
2731.61,4455.04,842.10,146.24,153.10,100.64,62.99,38.03,1.93,7.09,8.24,6.76,132.00
2746.52,6630.33,883.00,161.15,153.01,101.27,62.75,37.81,2.13,7.27,8.36,7.02,135.96
2761.43,10131.44,979.92,189.59,154.05,102.63,62.48,37.66,2.30,7.53,8.55,7.26,141.51
2776.34,15255.60,1180.59,242.96,157.58,105.33,62.33,37.69,2.40,7.80,8.70,7.48,149.27
2791.25,22023.90,1561.89,339.41,166.12,110.53,62.55,37.98,2.41,8.00,8.67,7.68,160.66
2806.16,30021.32,2234.03,504.86,184.27,120.54,63.54,38.65,2.39,8.09,8.45,7.88,178.36
2821.07,38386.32,3334.66,772.33,220.05,139.50,65.95,39.91,2.45,8.10,8.11,8.11,206.84
2835.99,46023.54,5008.01,1178.52,286.45,174.30,71.05,42.17,2.71,8.07,7.81,8.38,252.58
2850.90,51966.69,7367.86,1757.83,402.53,235.21,81.08,46.22,3.18,8.02,7.66,8.73,323.85
2865.81,55688.25,10450.75,2534.63,592.90,335.56,99.57,53.37,3.74,7.95,7.69,9.15,429.59
2880.72,57175.00,14172.83,3515.43,884.44,490.06,131.46,65.53,4.28,7.86,7.87,9.56,577.22
