Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,
A1,SampA1,150 bp to 270 bp,0.9442,0.9,6.144,253,5.67,300,9.8,小片段
A1,SampA1,150 bp to 1000 bp,105.3828,99.6,356.6338,486,18.25,300,9.8,RNA平均片段
A1,SampA1,200 bp to 1000 bp,105.3821,99.6,356.6301,486,18.24,300,9.8,DNA平均片段
A1,SampA1,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.8,接头
A1,SampA1,800 bp to 3000 bp,0.48,0.5,0.4955,1595,46.21,300,9.8,大片段
A1,SampA1,270 bp to 550 bp,81.2559,76.8,293.1806,456,14.38,300,9.8,RNA峰值片段位置
A1,SampA1,270 bp to 680 bp,102.997,97.3,349.5808,485,16.81,300,9.8,DNA峰值片段位置
A2,SampA2,150 bp to 270 bp,1.5288,1.3,9.9903,252,6.03,300,9.7,
A2,SampA2,150 bp to 1000 bp,120.8031,99.6,424.6416,468,18.77,300,9.7,
A2,SampA2,200 bp to 1000 bp,120.7995,99.6,424.6211,468,18.77,300,9.7,
A2,SampA2,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.7,
A2,SampA2,800 bp to 3000 bp,0.4529,0.4,0.4595,1622,45.97,300,9.7,
A2,SampA2,270 bp to 550 bp,100.3726,82.8,369.8527,447,14.99,300,9.7,
A2,SampA2,270 bp to 680 bp,118.1776,97.5,415.3854,468,17.29,300,9.7,
A3,SampA3,150 bp to 270 bp,1.6864,1.5,11.0643,251,6.29,300,9.6,
A3,SampA3,150 bp to 1000 bp,115.7642,99.7,410.9801,463,17.9,300,9.6,
A3,SampA3,200 bp to 1000 bp,115.7583,99.7,410.9471,463,17.9,300,9.6,
A3,SampA3,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.6,
A3,SampA3,800 bp to 3000 bp,0.3704,0.3,0.3584,1701,44.24,300,9.6,
A3,SampA3,270 bp to 550 bp,100.058,86.2,367.2843,448,14.41,300,9.6,
A3,SampA3,270 bp to 680 bp,113.3688,97.6,401.4103,465,16.4,300,9.6,
A4,SampA4,150 bp to 270 bp,0.2099,2.4,1.3587,254,4.72,300,9.4,
A4,SampA4,150 bp to 1000 bp,8.1971,94.2,29.4401,458,20.12,300,9.4,
A4,SampA4,200 bp to 1000 bp,8.1971,94.2,29.4401,458,20.12,300,9.4,
A4,SampA4,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.4,
A4,SampA4,800 bp to 3000 bp,0.2905,3.3,0.2224,2150,24.71,300,9.4,
A4,SampA4,270 bp to 550 bp,6.8084,78.3,25.4772,440,15.99,300,9.4,
A4,SampA4,270 bp to 680 bp,7.9401,91.3,28.3035,462,18.42,300,9.4,
A5,SampA5,150 bp to 270 bp,2.2883,1.9,15.035,250,7.26,300,9.5,
A5,SampA5,150 bp to 1000 bp,122.2523,99.3,439.8009,457,20.59,300,9.5,
A5,SampA5,200 bp to 1000 bp,122.2069,99.2,439.5382,457,20.56,300,9.5,
A5,SampA5,100 bp to 140 bp,0.0101,0,0.1465,114,11.73,300,9.5,
A5,SampA5,800 bp to 3000 bp,0.6876,0.6,0.8377,1351,50.61,300,9.5,
A5,SampA5,270 bp to 550 bp,103.0078,83.7,388.4103,436,15.53,300,9.5,
A5,SampA5,270 bp to 680 bp,118.1533,96,425.8281,457,18.21,300,9.5,
A6,SampA6,150 bp to 270 bp,1.6681,1.3,10.943,251,7.09,300,9.6,
A6,SampA6,150 bp to 1000 bp,125.3766,99.7,454.3311,454,18.49,300,9.6,
A6,SampA6,200 bp to 1000 bp,125.3451,99.7,454.1488,454,18.46,300,9.6,
A6,SampA6,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.6,
A6,SampA6,800 bp to 3000 bp,0.4392,0.3,0.4797,1507,49.3,300,9.6,
A6,SampA6,270 bp to 550 bp,110.5111,87.9,414.2625,439,14.52,300,9.6,
A6,SampA6,270 bp to 680 bp,122.6038,97.5,444.3963,454,16.81,300,9.6,
A7,SampA7,150 bp to 270 bp,2.4459,2.3,15.9618,252,5.85,300,9.4,
A7,SampA7,150 bp to 1000 bp,105.2742,99.6,392.3977,441,19.55,300,9.4,
A7,SampA7,200 bp to 1000 bp,105.2684,99.6,392.364,441,19.55,300,9.4,
A7,SampA7,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.4,
A7,SampA7,800 bp to 3000 bp,0.3283,0.3,0.3106,1740,42.45,300,9.4,
A7,SampA7,270 bp to 550 bp,93.6358,88.6,357.5095,431,15.86,300,9.4,
A7,SampA7,270 bp to 680 bp,102.3506,96.9,379.0986,444,17.85,300,9.4,
A8,SampA8,150 bp to 270 bp,1.5196,0.9,9.8421,254,5.16,300,9.7,
A8,SampA8,150 bp to 1000 bp,161.2831,99.7,568.3336,467,18.83,300,9.7,
A8,SampA8,200 bp to 1000 bp,161.2831,99.7,568.3336,467,18.83,300,9.7,
A8,SampA8,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.7,
A8,SampA8,800 bp to 3000 bp,1.0769,0.7,1.4176,1250,48.9,300,9.7,
A8,SampA8,270 bp to 550 bp,137.4396,84.9,507.757,445,14.14,300,9.7,
A8,SampA8,270 bp to 680 bp,156.9476,97,556.9678,464,16.58,300,9.7,
A9,SampA9,150 bp to 270 bp,1.8598,1.9,12.0672,253,5.4,300,9.5,
A9,SampA9,150 bp to 1000 bp,99.81,99.5,372.2446,441,19.3,300,9.5,
A9,SampA9,200 bp to 1000 bp,99.8085,99.5,372.2357,441,19.3,300,9.5,
A9,SampA9,100 bp to 140 bp,0.0028,0,0.0451,100,0.57,300,9.5,
A9,SampA9,800 bp to 3000 bp,0.3297,0.3,0.2826,1920,37.5,300,9.5,
A9,SampA9,270 bp to 550 bp,89.0844,88.8,341.3168,429,15.79,300,9.5,
A9,SampA9,270 bp to 680 bp,97.5113,97.2,362.0277,443,17.89,300,9.5,
A10,SampA10,150 bp to 270 bp,1.1804,0.8,7.6758,253,5.62,300,9.8,
A10,SampA10,150 bp to 1000 bp,142.8127,99.6,507.4299,463,17.51,300,9.8,
A10,SampA10,200 bp to 1000 bp,142.8124,99.6,507.4281,463,17.51,300,9.8,
A10,SampA10,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.8,
A10,SampA10,800 bp to 3000 bp,0.6809,0.5,0.7701,1455,49.07,300,9.8,
A10,SampA10,270 bp to 550 bp,124.9824,87.2,460.5131,447,13.81,300,9.8,
A10,SampA10,270 bp to 680 bp,140.1316,97.7,499.464,462,15.88,300,9.8,
A11,SampA11,150 bp to 270 bp,3.525,1.2,23.0759,251,6.7,300,9.7,
A11,SampA11,150 bp to 1000 bp,292.6215,99.7,1063.045,453,17.63,300,9.7,
A11,SampA11,200 bp to 1000 bp,292.5745,99.7,1062.7761,453,17.61,300,9.7,
A11,SampA11,100 bp to 140 bp,0.162,0.1,2.4098,110,6.36,300,9.7,
A11,SampA11,800 bp to 3000 bp,0.8625,0.3,0.9829,1444,47.67,300,9.7,
A11,SampA11,270 bp to 550 bp,261.5043,89.1,976.6711,441,14.43,300,9.7,
A11,SampA11,270 bp to 680 bp,287.9046,98.1,1043.6347,454,16.35,300,9.7,
A12,SampA12,150 bp to 270 bp,0.5189,0.8,3.3689,253,5.3,300,9.8,
A12,SampA12,150 bp to 1000 bp,63.9908,99.2,222.8298,473,19.41,300,9.8,
A12,SampA12,200 bp to 1000 bp,63.9908,99.2,222.8298,473,19.41,300,9.8,
A12,SampA12,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.8,
A12,SampA12,800 bp to 3000 bp,0.668,1,0.7577,1451,49.35,300,9.8,
A12,SampA12,270 bp to 550 bp,52.8721,82,195.2881,445,13.76,300,9.8,
A12,SampA12,270 bp to 680 bp,61.9528,96.1,218.1101,467,16.86,300,9.8,
B1,SampB1,150 bp to 270 bp,2.281,1.2,14.6603,256,4.72,300,9.6,
B1,SampB1,150 bp to 1000 bp,189.798,99.7,689.0033,453,17.98,300,9.6,
B1,SampB1,200 bp to 1000 bp,189.798,99.7,689.0033,453,17.98,300,9.6,
B1,SampB1,100 bp to 140 bp,0.0024,0,0.0371,106,1.16,300,9.6,
B1,SampB1,800 bp to 3000 bp,0.5001,0.3,0.4721,1744,40.16,300,9.6,
B1,SampB1,270 bp to 550 bp,167.8105,88.1,626.7546,441,15.45,300,9.6,
B1,SampB1,270 bp to 680 bp,187.3323,98.4,677.2614,455,17.14,300,9.6,
B2,SampB2,150 bp to 270 bp,3.4712,6.3,22.9602,249,6.76,300,8.7,
B2,SampB2,150 bp to 1000 bp,54.8557,99.3,220.3054,410,22.47,300,8.7,
B2,SampB2,200 bp to 1000 bp,54.8284,99.3,220.1374,410,22.44,300,8.7,
B2,SampB2,100 bp to 140 bp,0.004,0,0.0571,114,3.35,300,8.7,
B2,SampB2,800 bp to 3000 bp,0.2241,0.4,0.1663,2219,24.76,300,8.7,
B2,SampB2,270 bp to 550 bp,48.1302,87.1,193.9927,408,17.89,300,8.7,
B2,SampB2,270 bp to 680 bp,51.3232,92.9,201.3142,419,19.86,300,8.7,
B3,SampB3,150 bp to 270 bp,0.9188,2.4,6.0317,251,6.05,300,9.4,
B3,SampB3,150 bp to 1000 bp,37.3546,98.5,141.2001,435,18.83,300,9.4,
B3,SampB3,200 bp to 1000 bp,37.3546,98.5,141.1999,435,18.83,300,9.4,
B3,SampB3,100 bp to 140 bp,0.0002,0,0.0039,100,0,300,9.4,
B3,SampB3,800 bp to 3000 bp,0.3187,0.8,0.2437,2153,23.94,300,9.4,
B3,SampB3,270 bp to 550 bp,33.7564,89,129.81,428,15.58,300,9.4,
B3,SampB3,270 bp to 680 bp,36.39,96,136.2771,439,17.45,300,9.4,
B4,SampB4,150 bp to 270 bp,0.3169,3.1,2.0747,251,5.74,300,9.3,
B4,SampB4,150 bp to 1000 bp,9.8499,95.2,37.7698,429,19.64,300,9.3,
B4,SampB4,200 bp to 1000 bp,9.8499,95.2,37.7698,429,19.64,300,9.3,
B4,SampB4,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.3,
B4,SampB4,800 bp to 3000 bp,0.2971,2.9,0.2264,2160,23.77,300,9.3,
B4,SampB4,270 bp to 550 bp,8.8473,85.5,34.4425,423,16.11,300,9.3,
B4,SampB4,270 bp to 680 bp,9.5312,92.1,36.0873,435,18.12,300,9.3,
B5,SampB5,150 bp to 270 bp,3.1332,2.5,20.5507,251,6.22,300,9.4,
B5,SampB5,150 bp to 1000 bp,126.8639,99.5,470.1554,444,20.29,300,9.4,
B5,SampB5,200 bp to 1000 bp,126.8525,99.5,470.0893,444,20.29,300,9.4,
B5,SampB5,100 bp to 140 bp,0.0888,0.1,1.3801,106,3.48,300,9.4,
B5,SampB5,800 bp to 3000 bp,0.4938,0.4,0.5406,1503,49.19,300,9.4,
B5,SampB5,270 bp to 550 bp,111.2699,87.3,424.7812,431,15.98,300,9.4,
B5,SampB5,270 bp to 680 bp,122.6811,96.3,452.6947,446,18.16,300,9.4,
B6,SampB6,150 bp to 270 bp,0.1716,1.8,1.0998,257,4.12,300,9.4,
B6,SampB6,150 bp to 1000 bp,9.2641,95.6,36.0876,422,17.85,300,9.4,
B6,SampB6,200 bp to 1000 bp,9.2641,95.6,36.0876,422,17.85,300,9.4,
B6,SampB6,100 bp to 140 bp,0.0088,0.1,0.1277,113,5.81,300,9.4,
B6,SampB6,800 bp to 3000 bp,0.2506,2.6,0.1854,2225,21.45,300,9.4,
B6,SampB6,270 bp to 550 bp,8.6967,89.7,34.2183,418,15.59,300,9.4,
B6,SampB6,270 bp to 680 bp,9.0943,93.8,35.1837,425,17.01,300,9.4,
B7,SampB7,150 bp to 270 bp,2.4876,1.7,16.257,252,6.01,300,9.6,
B7,SampB7,150 bp to 1000 bp,147.6843,99.6,542.2553,448,18.77,300,9.6,
B7,SampB7,200 bp to 1000 bp,147.6772,99.6,542.2142,448,18.77,300,9.6,
B7,SampB7,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.6,
B7,SampB7,800 bp to 3000 bp,0.6463,0.4,0.7122,1494,49.23,300,9.6,
B7,SampB7,270 bp to 550 bp,132.1667,89.1,498.8867,436,14.73,300,9.6,
B7,SampB7,270 bp to 680 bp,143.7762,97,527.7915,448,16.72,300,9.6,
B8,SampB8,150 bp to 270 bp,0.1347,1,0.863,257,3.92,300,9.7,
B8,SampB8,150 bp to 1000 bp,12.9706,96.9,45.5963,468,19.24,300,9.7,
B8,SampB8,200 bp to 1000 bp,12.9706,96.9,45.5963,468,19.24,300,9.7,
B8,SampB8,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.7,
B8,SampB8,800 bp to 3000 bp,0.2697,2,0.215,2064,30.82,300,9.7,
B8,SampB8,270 bp to 550 bp,10.8021,80.7,40.0478,444,14.61,300,9.7,
B8,SampB8,270 bp to 680 bp,12.6279,94.4,44.6224,466,17.38,300,9.7,
B9,SampB9,150 bp to 270 bp,2.3339,1.5,15.4288,249,7.75,300,9.6,
B9,SampB9,150 bp to 1000 bp,156.2784,99.4,584.4752,440,16.95,300,9.6,
B9,SampB9,200 bp to 1000 bp,156.2145,99.4,584.0982,440,16.91,300,9.6,
B9,SampB9,100 bp to 140 bp,0.0005,0,0.0067,112,0.97,300,9.6,
B9,SampB9,800 bp to 3000 bp,0.8653,0.6,0.8282,1720,39.34,300,9.6,
B9,SampB9,270 bp to 550 bp,145.3598,92.5,551.4027,434,14.17,300,9.6,
B9,SampB9,270 bp to 680 bp,153.5889,97.7,572.042,442,15.59,300,9.6,
B10,SampB10,150 bp to 270 bp,2.1009,1.7,13.7141,252,5.95,300,9.5,
B10,SampB10,150 bp to 1000 bp,121.7723,99.6,454.9582,440,17.87,300,9.5,
B10,SampB10,200 bp to 1000 bp,121.7682,99.6,454.9339,440,17.87,300,9.5,
B10,SampB10,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.5,
B10,SampB10,800 bp to 3000 bp,0.3527,0.3,0.3135,1852,40.65,300,9.5,
B10,SampB10,270 bp to 550 bp,111.7346,91.4,424.5328,433,15.08,300,9.5,
B10,SampB10,270 bp to 680 bp,119.3543,97.7,443.7485,443,16.54,300,9.5,
B11,SampB11,150 bp to 270 bp,0.4302,0.4,2.7414,258,3.88,300,9.8,
B11,SampB11,150 bp to 1000 bp,112.5732,99.6,399.6327,464,16.5,300,9.8,
B11,SampB11,200 bp to 1000 bp,112.5732,99.6,399.6327,464,16.5,300,9.8,
B11,SampB11,100 bp to 140 bp,0.0504,0,0.7708,107,3.15,300,9.8,
B11,SampB11,800 bp to 3000 bp,0.4089,0.4,0.4092,1645,45.75,300,9.8,
B11,SampB11,270 bp to 550 bp,99.6613,88.1,366.3354,448,13.51,300,9.8,
B11,SampB11,270 bp to 680 bp,111.4494,98.6,396.5877,462,15.57,300,9.8,
B12,SampB12,150 bp to 270 bp,1.2495,0.9,8.1155,253,5.57,300,9.7,
B12,SampB12,150 bp to 1000 bp,135.4366,99.7,477.3472,467,17.91,300,9.7,
B12,SampB12,200 bp to 1000 bp,135.4357,99.7,477.3417,467,17.91,300,9.7,
B12,SampB12,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.7,
B12,SampB12,800 bp to 3000 bp,0.6176,0.5,0.726,1400,50.55,300,9.7,
B12,SampB12,270 bp to 550 bp,116.4212,85.7,427.4863,448,13.99,300,9.7,
B12,SampB12,270 bp to 680 bp,132.5784,97.6,468.8547,465,16.18,300,9.7,
C1,SampC1,150 bp to 270 bp,0.8097,0.6,5.3559,249,7.96,300,9.8,
C1,SampC1,150 bp to 1000 bp,124.8926,99.7,427.1508,481,16.53,300,9.8,
C1,SampC1,200 bp to 1000 bp,124.8672,99.6,427.0105,481,16.51,300,9.8,
C1,SampC1,100 bp to 140 bp,0.0029,0,0.0454,106,2.38,300,9.8,
C1,SampC1,800 bp to 3000 bp,0.3937,0.3,0.3951,1640,44.62,300,9.8,
C1,SampC1,270 bp to 550 bp,102.7089,82,368.4285,459,12.91,300,9.8,
C1,SampC1,270 bp to 680 bp,122.9717,98.1,421.2868,480,15.4,300,9.8,
C2,SampC2,150 bp to 270 bp,1.1236,0.8,7.4388,248,7.83,300,9.7,
C2,SampC2,150 bp to 1000 bp,141.7049,99.2,496.9726,469,16.52,300,9.7,
C2,SampC2,200 bp to 1000 bp,141.6713,99.1,496.7843,469,16.49,300,9.7,
C2,SampC2,100 bp to 140 bp,0.0149,0,0.2158,113,5.07,300,9.7,
C2,SampC2,800 bp to 3000 bp,0.2966,0.2,0.2653,1840,41.71,300,9.7,
C2,SampC2,270 bp to 550 bp,122.675,85.8,445.9983,453,13.28,300,9.7,
C2,SampC2,270 bp to 680 bp,139.7724,97.8,489.9972,469,15.48,300,9.7,
C3,SampC3,150 bp to 270 bp,2.5909,1,17.0518,250,7.05,300,9.7,
C3,SampC3,150 bp to 1000 bp,257.1087,99.7,921.2078,459,16.25,300,9.7,
C3,SampC3,200 bp to 1000 bp,257.0667,99.7,920.9665,459,16.23,300,9.7,
C3,SampC3,100 bp to 140 bp,0.0068,0,0.1054,106,6.91,300,9.7,
C3,SampC3,800 bp to 3000 bp,0.6489,0.3,0.6143,1739,38.91,300,9.7,
C3,SampC3,270 bp to 550 bp,230.2051,89.3,845.4508,448,13.6,300,9.7,
C3,SampC3,270 bp to 680 bp,253.9292,98.5,907.2486,461,15.29,300,9.7,
C4,SampC4,150 bp to 270 bp,0.4905,1.6,3.2189,251,6.13,300,9.6,
C4,SampC4,150 bp to 1000 bp,29.7251,98.7,107.7289,454,17.79,300,9.6,
C4,SampC4,200 bp to 1000 bp,29.7242,98.7,107.7239,454,17.78,300,9.6,
C4,SampC4,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.6,
C4,SampC4,800 bp to 3000 bp,0.1766,0.6,0.1232,2359,17.99,300,9.6,
C4,SampC4,270 bp to 550 bp,26.0815,86.6,97.2105,441,14.6,300,9.6,
C4,SampC4,270 bp to 680 bp,29.1885,97,105.1263,457,16.71,300,9.6,
C5,SampC5,150 bp to 270 bp,2.0864,1.3,13.6706,251,6.63,300,9.7,
C5,SampC5,150 bp to 1000 bp,163.6101,99.7,593.9407,453,17.7,300,9.7,
C5,SampC5,200 bp to 1000 bp,163.5839,99.7,593.791,453,17.68,300,9.7,
C5,SampC5,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.7,
C5,SampC5,800 bp to 3000 bp,0.4366,0.3,0.4457,1612,44.22,300,9.7,
C5,SampC5,270 bp to 550 bp,146.1994,89.1,545.3183,441,14.54,300,9.7,
C5,SampC5,270 bp to 680 bp,160.7713,98,582.2602,454,16.43,300,9.7,
C6,SampC6,150 bp to 270 bp,2.7884,1.3,18.2492,251,6.43,300,9.7,
C6,SampC6,150 bp to 1000 bp,218.1305,99.6,782.2055,459,17.49,300,9.7,
C6,SampC6,200 bp to 1000 bp,218.1027,99.6,782.0483,459,17.48,300,9.7,
C6,SampC6,100 bp to 140 bp,0.0244,0,0.3884,103,3.33,300,9.7,
C6,SampC6,800 bp to 3000 bp,0.6911,0.3,0.6358,1789,37.48,300,9.7,
