Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV,Size Threshold (b.p.),DQN,
F2,SampF2,200 bp to 1000 bp,0.0042,1.6,0.0182,377,5.28,300,10,
F2,SampF2,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
F2,SampF2,800 bp to 3000 bp,0.1302,48.7,0.0904,2369,17.77,300,10,
F2,SampF2,270 bp to 550 bp,0.0042,1.6,0.0182,377,5.28,300,10,
F2,SampF2,270 bp to 680 bp,0.0042,1.6,0.0182,377,5.28,300,10,
F3,SampF3,150 bp to 270 bp,0.0008,0.2,0.0051,263,2.11,300,9.8,
F3,SampF3,150 bp to 1000 bp,0.1393,39.1,0.5665,405,15.69,300,9.8,
F3,SampF3,200 bp to 1000 bp,0.1393,39.1,0.5665,405,15.69,300,9.8,
F3,SampF3,100 bp to 140 bp,0.0001,0,0.0022,102,0.71,300,9.8,
F3,SampF3,800 bp to 3000 bp,0.0969,27.2,0.0647,2466,15.33,300,9.8,
F3,SampF3,270 bp to 550 bp,0.1365,38.3,0.5574,403,14.83,300,9.8,
F3,SampF3,270 bp to 680 bp,0.1386,38.9,0.5623,405,15.48,300,9.8,
F4,SampF4,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
F4,SampF4,150 bp to 1000 bp,0.0441,16.9,0.1791,405,11.14,300,10,
F4,SampF4,200 bp to 1000 bp,0.0441,16.9,0.1791,405,11.14,300,10,
F4,SampF4,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
F4,SampF4,800 bp to 3000 bp,0.1097,42.1,0.0743,2429,15.89,300,10,
F4,SampF4,270 bp to 550 bp,0.0441,16.9,0.1791,405,11.14,300,10,
F4,SampF4,270 bp to 680 bp,0.0441,16.9,0.1791,405,11.14,300,10,
F5,SampF5,150 bp to 270 bp,0.0069,1.6,0.0458,249,8.69,300,9.7,
F5,SampF5,150 bp to 1000 bp,0.0792,17.9,0.3785,344,14.5,300,9.7,
F5,SampF5,200 bp to 1000 bp,0.0788,17.8,0.3754,345,14.07,300,9.7,
F5,SampF5,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.7,
F5,SampF5,800 bp to 3000 bp,0.2105,47.7,0.1537,2254,20.33,300,9.7,
F5,SampF5,270 bp to 550 bp,0.0724,16.4,0.3372,353,11.86,300,9.7,
F5,SampF5,270 bp to 680 bp,0.0724,16.4,0.3372,353,11.86,300,9.7,
F6,SampF6,150 bp to 270 bp,0.0007,0.1,0.0046,240,8.58,300,10,
F6,SampF6,150 bp to 1000 bp,0.0688,13.3,0.2781,407,16.05,300,10,
F6,SampF6,200 bp to 1000 bp,0.0688,13.3,0.278,407,16.03,300,10,
F6,SampF6,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
F6,SampF6,800 bp to 3000 bp,0.281,54.4,0.2096,2207,21.51,300,10,
F6,SampF6,270 bp to 550 bp,0.0679,13.2,0.2738,408,15.42,300,10,
F6,SampF6,270 bp to 680 bp,0.0681,13.2,0.2743,409,15.51,300,10,
F7,SampF7,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
F7,SampF7,150 bp to 1000 bp,0.0057,1.4,0.0273,345,6.78,300,10,
F7,SampF7,200 bp to 1000 bp,0.0057,1.4,0.0273,345,6.78,300,10,
F7,SampF7,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
F7,SampF7,800 bp to 3000 bp,0.2503,61.8,0.1907,2160,23.37,300,10,
F7,SampF7,270 bp to 550 bp,0.0057,1.4,0.0273,345,6.78,300,10,
F7,SampF7,270 bp to 680 bp,0.0057,1.4,0.0273,345,6.78,300,10,
F8,SampF8,150 bp to 270 bp,0.0506,8.2,0.3772,221,13.87,300,8.9,
F8,SampF8,150 bp to 1000 bp,0.3039,49.4,1.2699,394,27.55,300,8.9,
F8,SampF8,200 bp to 1000 bp,0.2914,47.4,1.1898,403,25.04,300,8.9,
F8,SampF8,100 bp to 140 bp,0.001,0.2,0.0127,132,7.41,300,8.9,
F8,SampF8,800 bp to 3000 bp,0.1577,25.6,0.1079,2406,16.83,300,8.9,
F8,SampF8,270 bp to 550 bp,0.2316,37.7,0.9243,412,16.24,300,8.9,
F8,SampF8,270 bp to 680 bp,0.2537,41.3,0.9752,428,19.24,300,8.9,
F9,SampF9,150 bp to 270 bp,0.0017,0.3,0.0104,265,2.68,300,9.8,
F9,SampF9,150 bp to 1000 bp,0.0446,9,0.2044,359,16.12,300,9.8,
F9,SampF9,200 bp to 1000 bp,0.0446,9,0.2044,359,16.12,300,9.8,
F9,SampF9,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.8,
F9,SampF9,800 bp to 3000 bp,0.2815,57,0.212,2186,22.53,300,9.8,
F9,SampF9,270 bp to 550 bp,0.0432,8.7,0.1959,362,15.5,300,9.8,
F9,SampF9,270 bp to 680 bp,0.0432,8.7,0.1959,362,15.5,300,9.8,
F10,SampF10,150 bp to 270 bp,0.0018,0.4,0.0116,250,2.91,300,9.8,
F10,SampF10,150 bp to 1000 bp,0.0872,21.3,0.3547,404,18.92,300,9.8,
F10,SampF10,200 bp to 1000 bp,0.0872,21.3,0.3547,404,18.92,300,9.8,
F10,SampF10,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.8,
F10,SampF10,800 bp to 3000 bp,0.1843,45.1,0.1309,2317,18.71,300,9.8,
F10,SampF10,270 bp to 550 bp,0.084,20.5,0.3413,405,17.71,300,9.8,
F10,SampF10,270 bp to 680 bp,0.0854,20.9,0.3448,408,18.15,300,9.8,
F11,SampF11,150 bp to 270 bp,0.0009,0.2,0.0057,263,3.21,300,9.9,
F11,SampF11,150 bp to 1000 bp,0.1124,21.7,0.4072,454,23.64,300,9.9,
F11,SampF11,200 bp to 1000 bp,0.1124,21.7,0.4072,454,23.64,300,9.9,
F11,SampF11,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.9,
F11,SampF11,800 bp to 3000 bp,0.2245,43.3,0.1622,2279,19.56,300,9.9,
F11,SampF11,270 bp to 550 bp,0.0904,17.5,0.3577,416,17.77,300,9.9,
F11,SampF11,270 bp to 680 bp,0.1116,21.5,0.4027,456,23.36,300,9.9,
F12,SampF12,150 bp to 270 bp,0.0096,2,0.0641,248,7.07,300,9.6,
F12,SampF12,150 bp to 1000 bp,0.072,14.9,0.3332,356,20.83,300,9.6,
F12,SampF12,200 bp to 1000 bp,0.0719,14.9,0.3327,356,20.77,300,9.6,
F12,SampF12,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,9.6,
F12,SampF12,800 bp to 3000 bp,0.2329,48.2,0.1687,2272,20.05,300,9.6,
F12,SampF12,270 bp to 550 bp,0.0626,12.9,0.2769,372,17.49,300,9.6,
F12,SampF12,270 bp to 680 bp,0.0626,12.9,0.2769,372,17.49,300,9.6,
G1,SampG1,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G1,SampG1,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G1,SampG1,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G1,SampG1,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G1,SampG1,800 bp to 3000 bp,0.2429,61.4,0.1804,2216,21.72,300,10,
G1,SampG1,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G1,SampG1,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
G2,SampG2,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G2,SampG2,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G2,SampG2,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G2,SampG2,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G2,SampG2,800 bp to 3000 bp,0.2694,63.6,0.2054,2160,23.64,300,10,
G2,SampG2,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G2,SampG2,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
G3,SampG3,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G3,SampG3,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G3,SampG3,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G3,SampG3,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G3,SampG3,800 bp to 3000 bp,0.2218,54.9,0.1627,2244,20.84,300,10,
G3,SampG3,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G3,SampG3,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
G4,SampG4,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G4,SampG4,150 bp to 1000 bp,0.0247,4.9,0.046,883,10.24,300,10,
G4,SampG4,200 bp to 1000 bp,0.0247,4.9,0.046,883,10.24,300,10,
G4,SampG4,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G4,SampG4,800 bp to 3000 bp,0.3412,67.2,0.2839,1978,31.25,300,10,
G4,SampG4,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G4,SampG4,270 bp to 680 bp,0.0018,0.4,0.0048,623,2.27,300,10,
G5,SampG5,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G5,SampG5,150 bp to 1000 bp,0.0512,8.6,0.0989,852,8.72,300,10,
G5,SampG5,200 bp to 1000 bp,0.0512,8.6,0.0989,852,8.72,300,10,
G5,SampG5,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G5,SampG5,800 bp to 3000 bp,0.3913,65.9,0.3284,1961,32.67,300,10,
G5,SampG5,270 bp to 550 bp,0.0001,0,0.0004,472,0.14,300,10,
G5,SampG5,270 bp to 680 bp,0.0001,0,0.0004,472,0.14,300,10,
G6,SampG6,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G6,SampG6,150 bp to 1000 bp,0.0062,1.2,0.0171,593,5.37,300,10,
G6,SampG6,200 bp to 1000 bp,0.0062,1.2,0.0171,593,5.37,300,10,
G6,SampG6,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G6,SampG6,800 bp to 3000 bp,0.2783,56.1,0.2086,2195,22.69,300,10,
G6,SampG6,270 bp to 550 bp,0.0004,0.1,0.0015,498,1.45,300,10,
G6,SampG6,270 bp to 680 bp,0.0062,1.2,0.0171,593,5.37,300,10,
G7,SampG7,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G7,SampG7,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G7,SampG7,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G7,SampG7,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G7,SampG7,800 bp to 3000 bp,0.2084,59.7,0.1511,2269,20,300,10,
G7,SampG7,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G7,SampG7,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
G8,SampG8,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G8,SampG8,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G8,SampG8,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G8,SampG8,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G8,SampG8,800 bp to 3000 bp,0.2659,59.3,0.1996,2193,22.19,300,10,
G8,SampG8,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G8,SampG8,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
G9,SampG9,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G9,SampG9,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G9,SampG9,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G9,SampG9,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G9,SampG9,800 bp to 3000 bp,0.1712,57.4,0.1212,2325,18.6,300,10,
G9,SampG9,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G9,SampG9,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
G10,SampG10,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G10,SampG10,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G10,SampG10,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G10,SampG10,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G10,SampG10,800 bp to 3000 bp,0.2371,61,0.1752,2228,21.48,300,10,
G10,SampG10,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G10,SampG10,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
G11,SampG11,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G11,SampG11,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G11,SampG11,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G11,SampG11,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G11,SampG11,800 bp to 3000 bp,0.2581,62.5,0.1931,2200,22.17,300,10,
G11,SampG11,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G11,SampG11,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
G12,SampG12,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
G12,SampG12,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G12,SampG12,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
G12,SampG12,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
G12,SampG12,800 bp to 3000 bp,0.2358,57.1,0.1728,2246,20.83,300,10,
G12,SampG12,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
G12,SampG12,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
H1,SampH1,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H1,SampH1,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
H1,SampH1,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
H1,SampH1,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H1,SampH1,800 bp to 3000 bp,0.2607,61.8,0.1989,2157,24.26,300,10,
H1,SampH1,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
H1,SampH1,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
H2,SampH2,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H2,SampH2,150 bp to 1000 bp,0.0605,11,0.1895,526,23.17,300,10,
H2,SampH2,200 bp to 1000 bp,0.0605,11,0.1895,526,23.17,300,10,
H2,SampH2,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H2,SampH2,800 bp to 3000 bp,0.3225,58.4,0.2512,2114,25.74,300,10,
H2,SampH2,270 bp to 550 bp,0.0449,8.1,0.1548,477,8.66,300,10,
H2,SampH2,270 bp to 680 bp,0.0572,10.4,0.1886,499,11.48,300,10,
H3,SampH3,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H3,SampH3,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
H3,SampH3,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
H3,SampH3,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H3,SampH3,800 bp to 3000 bp,0.2729,61.9,0.2056,2184,22.96,300,10,
H3,SampH3,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
H3,SampH3,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
H4,SampH4,150 bp to 270 bp,0.0018,0.4,0.0193,152,3.15,300,9,
H4,SampH4,150 bp to 1000 bp,0.0018,0.4,0.0193,152,3.15,300,9,
H4,SampH4,200 bp to 1000 bp,0,0,0,239,0.12,300,9,
H4,SampH4,100 bp to 140 bp,0.0336,7.7,0.4481,123,7.6,300,9,
H4,SampH4,800 bp to 3000 bp,0.2362,53.8,0.171,2275,19.48,300,9,
H4,SampH4,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,9,
H4,SampH4,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,9,
H5,SampH5,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H5,SampH5,150 bp to 1000 bp,0.0193,4.3,0.0737,430,15.15,300,10,
H5,SampH5,200 bp to 1000 bp,0.0193,4.3,0.0737,430,15.15,300,10,
H5,SampH5,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H5,SampH5,800 bp to 3000 bp,0.2577,57.9,0.1908,2223,21.74,300,10,
H5,SampH5,270 bp to 550 bp,0.0192,4.3,0.0736,430,15.13,300,10,
H5,SampH5,270 bp to 680 bp,0.0193,4.3,0.0737,430,15.15,300,10,
H6,SampH6,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H6,SampH6,150 bp to 1000 bp,0.0048,1,0.0115,691,26.42,300,10,
H6,SampH6,200 bp to 1000 bp,0.0048,1,0.0115,691,26.42,300,10,
H6,SampH6,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H6,SampH6,800 bp to 3000 bp,0.3045,64.5,0.235,2133,24.79,300,10,
H6,SampH6,270 bp to 550 bp,0.0008,0.2,0.0027,517,4.1,300,10,
H6,SampH6,270 bp to 680 bp,0.0033,0.7,0.0096,571,6.08,300,10,
H7,SampH7,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H7,SampH7,150 bp to 1000 bp,0.0067,1.5,0.0318,346,14.49,300,10,
H7,SampH7,200 bp to 1000 bp,0.0067,1.5,0.0318,346,14.49,300,10,
H7,SampH7,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H7,SampH7,800 bp to 3000 bp,0.2739,61.1,0.2066,2183,22.81,300,10,
H7,SampH7,270 bp to 550 bp,0.0067,1.5,0.0318,346,14.49,300,10,
H7,SampH7,270 bp to 680 bp,0.0067,1.5,0.0318,346,14.49,300,10,
H8,SampH8,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,150 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,200 bp to 1000 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,800 bp to 3000 bp,0.288,62.8,0.2178,2177,22.97,300,10,
H8,SampH8,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
H8,SampH8,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
H9,SampH9,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H9,SampH9,150 bp to 1000 bp,0.0412,6.8,0.1088,623,26.43,300,10,
H9,SampH9,200 bp to 1000 bp,0.0412,6.8,0.1088,623,26.43,300,10,
H9,SampH9,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H9,SampH9,800 bp to 3000 bp,0.35,57.9,0.2784,2069,27.4,300,10,
H9,SampH9,270 bp to 550 bp,0.0173,2.9,0.0568,502,5.98,300,10,
H9,SampH9,270 bp to 680 bp,0.0315,5.2,0.0968,536,8.36,300,10,
H10,SampH10,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H10,SampH10,150 bp to 1000 bp,0.0033,0.7,0.0059,919,4.25,300,10,
H10,SampH10,200 bp to 1000 bp,0.0033,0.7,0.0059,919,4.25,300,10,
H10,SampH10,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H10,SampH10,800 bp to 3000 bp,0.3127,64.7,0.2436,2113,25.6,300,10,
H10,SampH10,270 bp to 550 bp,0,0,NaN,NaN,NaN,300,10,
H10,SampH10,270 bp to 680 bp,0,0,NaN,NaN,NaN,300,10,
H11,SampH11,150 bp to 270 bp,0,0,NaN,NaN,NaN,300,10,
H11,SampH11,150 bp to 1000 bp,0.0006,0.1,0.0015,632,32.6,300,10,
H11,SampH11,200 bp to 1000 bp,0.0006,0.1,0.0015,632,32.6,300,10,
H11,SampH11,100 bp to 140 bp,0,0,NaN,NaN,NaN,300,10,
H11,SampH11,800 bp to 3000 bp,0.2574,60.7,0.1924,2202,22.6,300,10,
H11,SampH11,270 bp to 550 bp,0.0004,0.1,0.0012,490,0.21,300,10,
H11,SampH11,270 bp to 680 bp,0.0004,0.1,0.0012,490,0.21,300,10,
H12,SampH12,,,,,,,,,
